internal_record_id,functional_record_id,head_individual_id,head_name,headship_type,size_total,size_adults,size_children_u5,size_school_age,size_elderly,number_of_female_members,number_of_male_members,country,region,district,ward,village,latitude,longitude,altitude,plus_code,address_line_1,address_line_2,postal_code,country_code
h001,HH-0001,i0001,Lance Hoffman,MALE_HEADED,3,3,0,0,0,2,1,kamuntu,jasiri,baraka,umani,bimaka,13.5559,71.496,158,35AB+14,65423 Garcia Light,Sector 2,000001,KM
h002,HH-0002,i0004,Monica Martin,FEMALE_HEADED,5,5,0,0,0,3,2,kamuntu,chakula,rafiki,uhuruumeme,biluju,17.1602,69.1584,68,71AB+91,8350 Lydia Valley Suite 641,Sector 5,000004,KM
h003,HH-0003,i0009,Pamela Anderson,FEMALE_HEADED,5,3,1,1,0,1,4,kamuntu,kilima,pembe,upande,bigeu,14.0239,66.0479,185,40AB+60,248 Brandt Plains Apt. 465,Sector 1,000009,KM
h004,HH-0004,i0014,Javier John Ramirez,MALE_HEADED,3,3,0,0,0,1,2,kamuntu,chakula,njia,wingu,bilufu,17.8385,67.8407,98,78AB+78,80132 Tucker Forest,Sector 6,000014,KM
h005,HH-0005,i0017,Anthony Woods,MALE_HEADED,3,2,0,1,1,1,2,kamuntu,kilima,pembe,wingi,bieke,12.8714,71.8901,65,28AB+18,136 Shelly Port,Sector 9,000017,KM
h006,HH-0006,i0020,Jacob Moore,MALE_HEADED,3,3,0,0,1,1,2,kamuntu,jasiri,ndoto,habari,biluzo,12.4657,68.4565,130,24AB+84,808 Huynh Cove Apt. 411,Sector 3,000020,KM
h007,HH-0007,i0023,Kevin Hernandez,MALE_HEADED,7,5,2,0,0,4,3,kamuntu,faraja,tunza,kuitwa,bilova,17.8664,71.929,240,78AB+19,31586 Sara Freeway Apt. 260,Sector 6,000023,KM
h008,HH-0008,i0030,Megan Dixon,FEMALE_HEADED,5,4,0,1,0,3,2,kamuntu,faraja,tunza,kufa,bilosi,10.3015,69.387,95,03AB+93,34332 Brandon Mountains Apt. 769,Sector 4,000030,KM
h009,HH-0009,i0035,Jennifer Clark,FEMALE_HEADED,3,3,0,0,0,2,1,kamuntu,jasiri,baraka,safari,bimaqa,14.9307,71.8647,61,49AB+18,670 Evans Loaf,Sector 9,000035,KM
h010,HH-0010,i0038,Debbie Murphy,FEMALE_HEADED,7,6,0,1,0,3,4,kamuntu,faraja,tunza,kuitwa,bilovi,12.885,67.9152,265,28AB+79,5646 Conley Mountains Apt. 805,Sector 3,000038,KM
h011,HH-0011,i0045,Anna Walker,FEMALE_HEADED,3,3,0,0,0,2,1,kamuntu,chakula,makali,sura,biluqu,12.4997,66.4602,225,24AB+64,9578 Coleman Summit,Sector 1,000045,KM
h012,HH-0012,i0048,Melissa Hernandez,FEMALE_HEADED,7,4,1,2,0,3,4,kamuntu,faraja,sihaya,kusoma,bicha,14.758,65.7896,275,47AB+57,31869 Kimberly Light Suite 749,Sector 4,000048,KM
h013,HH-0013,i0055,Brandon King,MALE_HEADED,6,4,0,2,0,2,4,kamuntu,faraja,tunza,kuwasha,bilkua,11.2752,68.3411,292,12AB+83,876 Jacob Lake,Sector 2,000055,KM
h014,HH-0014,i0061,Kelly Bryant,FEMALE_HEADED,5,5,0,0,0,3,2,kamuntu,faraja,tunza,kuwasha,billah,10.0491,65.1362,264,00AB+51,2174 Hanson Locks,Sector 8,000061,KM
h015,HH-0015,i0066,Ryan Gonzalez,MALE_HEADED,7,7,0,0,1,5,2,kamuntu,chakula,mfumo,changa,biloxa,19.971,68.9311,53,99AB+89,594 Johnson Village Suite 409,Sector 4,000066,KM
h016,HH-0016,i0073,Melissa Fernandez,FEMALE_HEADED,3,2,0,1,0,1,2,kamuntu,jasiri,baraka,umani,bimana,10.7717,66.7335,225,07AB+67,1796 Johnson Land,Sector 2,000073,KM
h017,HH-0017,i0076,William Jamie Buchanan,MALE_HEADED,7,7,0,0,2,4,3,kamuntu,jasiri,simba,tanzu,bilusi,14.0101,69.9878,90,40AB+99,90422 Lindsey Creek Apt. 205,Sector 5,000076,KM
h018,HH-0018,i0083,Sarah Angela Bell,FEMALE_HEADED,3,3,0,0,0,2,1,kamuntu,chakula,njia,barafu,biluhu,17.9575,70.9371,208,79AB+09,9368 Chelsea Shoals,Sector 3,000083,KM
h019,HH-0019,i0086,Paul Wilson,MALE_HEADED,6,5,0,1,1,3,3,kamuntu,faraja,sihaya,kusoma,bidi,10.6192,65.6312,213,06AB+56,49784 Jeffrey Rapid Apt. 034,Sector 6,000086,KM
h020,HH-0020,i0092,Leslie Bell,FEMALE_HEADED,7,5,0,2,0,2,5,kamuntu,chakula,rafiki,uhuruumeme,biluju,17.133,69.1788,155,71AB+91,1199 Ford Plaza Apt. 793,Sector 3,000092,KM
h021,HH-0021,i0099,Pamela Anderson,FEMALE_HEADED,5,5,0,0,0,3,2,kamuntu,kilima,nyani,shimo,bilina,12.5656,71.6254,62,25AB+16,22927 Robert Springs Apt. 794,Sector 1,000099,KM
h022,HH-0022,i0104,Todd Lynch,MALE_HEADED,5,4,0,1,1,2,3,kamuntu,chakula,makali,cheka,bilupu,19.9831,66.9494,248,99AB+69,43410 Robert Underpass Suite 117,Sector 6,000104,KM
h023,HH-0023,i0109,Matthew Mitchell,MALE_HEADED,7,7,0,0,2,3,4,kamuntu,chakula,makali,sura,biluqu,12.4805,66.4473,113,24AB+64,541 Kim Locks,Sector 2,000109,KM
h024,HH-0024,i0116,Rodney Jones,MALE_HEADED,7,6,0,1,0,4,3,kamuntu,chakula,njia,barafu,biluja,10.4073,68.4705,87,04AB+84,177 Anderson Village Apt. 268,Sector 9,000116,KM
h025,HH-0025,i0123,Kathleen Destiny Khan,FEMALE_HEADED,7,4,1,2,0,6,1,kamuntu,faraja,asilani,nguvu,bano,13.6332,66.6511,66,36AB+66,8016 Nicole Stream Suite 650,Sector 7,000123,KM
h026,HH-0026,i0130,Tyler Stevens,MALE_HEADED,7,5,1,1,0,3,4,kamuntu,chakula,rafiki,uhuruumeme,biluka,14.9874,70.9829,151,49AB+09,48434 Bush Spurs,Sector 5,000130,KM
h027,HH-0027,i0137,Margaret Ronald Sullivan,FEMALE_HEADED,3,2,1,0,0,2,1,kamuntu,faraja,sihaya,kusoma,bichi,17.1992,65.1981,93,71AB+51,61227 Boyle Avenue Suite 637,Sector 3,000137,KM
h028,HH-0028,i0140,Jacqueline Miles,FEMALE_HEADED,6,4,0,2,0,3,3,kamuntu,faraja,asilani,kufa,berio,10.9104,68.9507,130,09AB+89,339 Alicia Pines Suite 191,Sector 6,000140,KM
h029,HH-0029,i0146,Pamela Stephenson,FEMALE_HEADED,3,2,0,1,0,2,1,kamuntu,chakula,mfumo,wimbo,biluba,14.4129,65.4097,145,44AB+54,31190 Harper Squares,Sector 3,000146,KM
h030,HH-0030,i0149,Shannon Steven Thomas,FEMALE_HEADED,7,7,0,0,1,4,3,kamuntu,chakula,njia,wingu,bilugi,17.748,66.7524,234,77AB+67,668 Paul Glens,Sector 6,000149,KM
h031,HH-0031,i0156,Jonathan Wolfe,MALE_HEADED,7,5,1,1,1,6,1,kamuntu,jasiri,baraka,walili,bimata,11.0621,66.0946,282,10AB+60,11823 Christine Glen Suite 461,Sector 4,000156,KM
h032,HH-0032,i0163,Abigail Parker,FEMALE_HEADED,4,4,0,0,1,1,3,kamuntu,chakula,mfumo,nguvu,biluci,16.6068,65.5921,295,66AB+55,7888 Garcia Corners,Sector 2,000163,KM
h033,HH-0033,i0167,Tracy Carter,FEMALE_HEADED,6,5,0,1,0,3,3,kamuntu,jasiri,simba,walizo,biluti,13.2596,66.3016,240,32AB+63,4651 Brittany Plains Apt. 807,Sector 6,000167,KM
h034,HH-0034,i0173,Mark Lopez,MALE_HEADED,7,5,0,2,1,2,5,kamuntu,kilima,karamu,hasara,bilota,12.8016,65.7932,131,28AB+57,9660 Jamie Terrace,Sector 3,000173,KM
h035,HH-0035,i0180,Kimberly Fritz,FEMALE_HEADED,5,4,0,1,0,3,2,kamuntu,chakula,njia,moyo,bilufi,16.3599,71.4481,170,63AB+14,340 Baker Wall,Sector 1,000180,KM
h036,HH-0036,i0185,Daniel Jason Jordan,MALE_HEADED,4,4,0,0,0,2,2,kamuntu,jasiri,mapema,upendo,bimbee,15.7307,68.7852,53,57AB+87,750 Cory Tunnel,Sector 6,000185,KM
