internal_record_id,functional_record_id,head_individual_id,head_name,headship_type,size_total,size_adults,size_children_u5,size_school_age,size_elderly,number_of_female_members,number_of_male_members,country,region,district,ward,village,latitude,longitude,altitude,plus_code,address_line_1,address_line_2,postal_code,country_code,dwelling_type,roof_material,wall_material,floor_material,tenure_status,water_source_type,water_distance_minutes,sanitation_type,lighting_source,cooking_fuel_type,assets,programs,score_type,score_definition_id,triggered_by_cr_id,triggered_by_submission_id,computed_score,computed_at
h001,HH-0001,i0001,Lance Hoffman,MALE_HEADED,3,3,0,0,0,2,1,kamuntu,jasiri,baraka,umani,bimaka,13.5559,71.496,158,35AB+14,65423 Garcia Light,Sector 2,000001,KM,PERMANENT,TARPAULIN,MUD_BRICK,EARTH,OWNED,WELL,23,SHARED,GRID,GAS,"[{""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Sewing Machine"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Mobile Phone"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Car"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Motorcycle"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Water Pump"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]","[{""program_name"": ""PROG_HH_NUTRITION"", ""program_start_date"": ""2023-11-08"", ""program_exit_date"": null}]",POVERTY,e0000000-0000-4000-8000-000000000001,cr0001,,2.75,2026-04-01 10:00:01
h002,HH-0002,i0004,Monica Martin,FEMALE_HEADED,5,5,0,0,0,3,2,kamuntu,chakula,rafiki,uhuruumeme,biluju,17.1602,69.1584,68,71AB+91,8350 Lydia Valley Suite 641,Sector 5,000004,KM,SEMI_PERMANENT,TILE,MUD_BRICK,CEMENT,OWNED,PIPED,23,PIT_LATRINE,GRID,CHARCOAL,[],[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0002,,1.84,2026-04-01 10:00:02
h003,HH-0003,i0009,Pamela Anderson,FEMALE_HEADED,5,3,1,1,0,1,4,kamuntu,kilima,pembe,upande,bigeu,14.0239,66.0479,185,40AB+60,248 Brandt Plains Apt. 465,Sector 1,000009,KM,SEMI_PERMANENT,TILE,BAMBOO,EARTH,OWNED,WELL,20,SHARED,SOLAR,OTHER,"[{""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Television"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Plough"", ""quantity"": 2, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Car"", ""quantity"": 1, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Refrigerator"", ""quantity"": 1, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]",[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0003,,2.68,2026-04-01 10:00:03
h004,HH-0004,i0014,Javier John Ramirez,MALE_HEADED,3,3,0,0,0,1,2,kamuntu,chakula,njia,wingu,bilufu,17.8385,67.8407,98,78AB+78,80132 Tucker Forest,Sector 6,000014,KM,TEMPORARY,TILE,STONE,CEMENT,OWNED,WELL,38,FLUSH_TOILET,GRID,CHARCOAL,"[{""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Television"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Plough"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]",[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0004,,1.31,2026-04-01 10:00:04
h005,HH-0005,i0017,Anthony Woods,MALE_HEADED,3,2,0,1,1,1,2,kamuntu,kilima,pembe,wingi,bieke,12.8714,71.8901,65,28AB+18,136 Shelly Port,Sector 9,000017,KM,PERMANENT,TARPAULIN,BAMBOO,EARTH,RENTED,PUBLIC_TAP,41,SHARED,SOLAR,ELECTRICITY,"[{""asset_type"": ""VEHICLE"", ""asset_category"": ""Motorcycle"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Motorcycle"", ""quantity"": 2, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Bicycle"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Motorcycle"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Refrigerator"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}]",[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0005,,3.39,2026-04-01 10:00:05
h006,HH-0006,i0020,Jacob Moore,MALE_HEADED,3,3,0,0,1,1,2,kamuntu,jasiri,ndoto,habari,biluzo,12.4657,68.4565,130,24AB+84,808 Huynh Cove Apt. 411,Sector 3,000020,KM,TEMPORARY,THATCH,BAMBOO,CEMENT,HOSTED,PUBLIC_TAP,32,FLUSH_TOILET,KEROSENE,GAS,"[{""asset_type"": ""VEHICLE"", ""asset_category"": ""Bicycle"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Mobile Phone"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}]","[{""program_name"": ""PROG_HH_NUTRITION"", ""program_start_date"": ""2025-02-20"", ""program_exit_date"": null}]",POVERTY,e0000000-0000-4000-8000-000000000001,cr0006,,2.87,2026-04-01 10:00:06
h007,HH-0007,i0023,Kevin Hernandez,MALE_HEADED,7,5,2,0,0,4,3,kamuntu,faraja,tunza,kuitwa,bilova,17.8664,71.929,240,78AB+19,31586 Sara Freeway Apt. 260,Sector 6,000023,KM,PERMANENT,TILE,MUD_BRICK,TILE,RENTED,PUBLIC_TAP,43,SHARED,KEROSENE,FIREWOOD,"[{""asset_type"": ""VEHICLE"", ""asset_category"": ""Motorcycle"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Mobile Phone"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Refrigerator"", ""quantity"": 2, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Car"", ""quantity"": 1, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Motorcycle"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]","[{""program_name"": ""PROG_HH_NUTRITION"", ""program_start_date"": ""2023-02-17"", ""program_exit_date"": null}]",POVERTY,e0000000-0000-4000-8000-000000000001,cr0007,,2.95,2026-04-01 10:00:07
h008,HH-0008,i0030,Megan Dixon,FEMALE_HEADED,5,4,0,1,0,3,2,kamuntu,faraja,tunza,kufa,bilosi,10.3015,69.387,95,03AB+93,34332 Brandon Mountains Apt. 769,Sector 4,000030,KM,PERMANENT,TARPAULIN,BAMBOO,EARTH,OWNED,WELL,29,FLUSH_TOILET,GRID,GAS,[],"[{""program_name"": ""PROG_HH_LIVELIHOOD"", ""program_start_date"": ""2023-07-10"", ""program_exit_date"": null}, {""program_name"": ""PROG_HH_NUTRITION"", ""program_start_date"": ""2023-11-26"", ""program_exit_date"": null}]",POVERTY,e0000000-0000-4000-8000-000000000001,cr0008,,4.91,2026-04-01 10:00:08
h009,HH-0009,i0035,Jennifer Clark,FEMALE_HEADED,3,3,0,0,0,2,1,kamuntu,jasiri,baraka,safari,bimaqa,14.9307,71.8647,61,49AB+18,670 Evans Loaf,Sector 9,000035,KM,TEMPORARY,METAL_SHEET,MUD_BRICK,CEMENT,OWNED,WELL,18,FLUSH_TOILET,SOLAR,GAS,"[{""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Mobile Phone"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]",[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0009,,1.9,2026-04-01 10:00:09
h010,HH-0010,i0038,Debbie Murphy,FEMALE_HEADED,7,6,0,1,0,3,4,kamuntu,faraja,tunza,kuitwa,bilovi,12.885,67.9152,265,28AB+79,5646 Conley Mountains Apt. 805,Sector 3,000038,KM,PERMANENT,METAL_SHEET,BRICK,CEMENT,HOSTED,SPRING,30,PIT_LATRINE,SOLAR,ELECTRICITY,[],[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0010,,3.2,2026-04-01 10:00:10
