internal_record_id,functional_record_id,household_id,first_name,middle_name,last_name,full_name,given_name,gender,birth_date,estimated_age,marital_status,phone_numbers,emails,foundational_id,foundational_id_masked,education_level,language_code,image_file,country,region,district,ward,village,latitude,longitude,altitude,plus_code,address_line_1,address_line_2,postal_code,country_code,primary_livelihood,secondary_livelihood,employment_status,coping_strategies_index,mobile_phone_type,disability_status,orphanhood_flag,chronic_illness_flag,displacement_status,pastoralist_classification,high_mobility_indicator,plw_status,plw_status_date,livestock,land,shocks,disabilities,programs
i0001,IND-0001,h001,Lance,,Hoffman,Lance Hoffman,Lance Hoffman,MALE,1968-04-14,58,MARRIED,"[{""type"": ""mobile"", ""number"": ""+10000000001"", ""is_primary"": true}]",lrobinson@example.com,4733616459,XXXXXX6459,CAN_READ_AND_WRITE,en,images/IND-0001.jpg,kamuntu,jasiri,baraka,umani,bimaka,13.5559,71.496,158,35AB+14,65423 Garcia Light,Sector 2,000001,KM,SERVICES,,SELF_EMPLOYED,6,BASIC,,,,,,,,,"[{""livestock_species"": ""GOATS"", ""livestock_counts"": ""BAND_1_5""}, {""livestock_species"": ""CHICKEN"", ""livestock_counts"": ""BAND_6_10""}, {""livestock_species"": ""DONKEY"", ""livestock_counts"": ""BAND_21_PLUS""}]","[{""land_access"": ""TRUE"", ""land_size"": 4.44, ""productive_assets"": ""[\""PLOUGH\"", \""TRACTOR\""]""}, {""land_access"": ""TRUE"", ""land_size"": 6.49, ""productive_assets"": ""[\""TRACTOR\"", \""OTHER\""]""}, {""land_access"": ""TRUE"", ""land_size"": 3.19, ""productive_assets"": null}]",[],[],"[{""program_name"": ""PROG_EDUCATION_SUPPORT"", ""program_start_date"": ""2024-01-28"", ""program_exit_date"": null}, {""program_name"": ""PROG_HEALTH_INSURANCE"", ""program_start_date"": ""2023-01-28"", ""program_exit_date"": null}]"
i0002,IND-0002,h001,Brent,,Hoffman,Brent Hoffman,Brent Hoffman,FEMALE,1999-06-01,27,MARRIED,"[{""type"": ""mobile"", ""number"": ""+10000000002"", ""is_primary"": true}]",lindsay78@example.org,9776552803,XXXXXX2803,HIGHER_EDUCATION,en,images/IND-0002.jpg,kamuntu,jasiri,baraka,umani,bimaka,13.5259,71.4925,286,35AB+14,84959 Janet Cape Apt. 413,Sector 3,000002,KM,SERVICES,,UNEMPLOYED,3,BASIC,,,,,,,,,[],"[{""land_access"": ""TRUE"", ""land_size"": 7.28, ""productive_assets"": ""[\""PLOUGH\""]""}, {""land_access"": ""TRUE"", ""land_size"": 5.52, ""productive_assets"": ""[\""PLOUGH\""]""}]",[],[],[]
i0003,IND-0003,h001,Sharon,,Hoffman,Sharon Hoffman,Sharon Hoffman,FEMALE,1982-03-02,44,MARRIED,"[{""type"": ""mobile"", ""number"": ""+10000000003"", ""is_primary"": true}]",,1298737106,XXXXXX7106,ILLITERATE,en,images/IND-0003.jpg,kamuntu,jasiri,baraka,umani,bimaka,13.5461,71.5573,70,35AB+15,525 Clark Grove Apt. 928,Sector 4,000003,KM,SERVICES,CRAFT,EMPLOYED,5,NONE,NO,FALSE,FALSE,HOST_COMMUNITY,SETTLED,FALSE,NO,,[],[],[],"[{""disability_domain"": ""HEARING"", ""disability_severity"": ""CANNOT_DO_AT_ALL""}, {""disability_domain"": ""SELF_CARE"", ""disability_severity"": ""SOME_DIFFICULTY""}]",[]
i0004,IND-0004,h002,Monica,,Martin,Monica Martin,Monica Martin,FEMALE,1993-03-11,33,MARRIED,"[{""type"": ""mobile"", ""number"": ""+10000000004"", ""is_primary"": true}]",,8173347748,XXXXXX7748,CAN_READ_AND_WRITE,en,images/IND-0004.jpg,kamuntu,chakula,rafiki,uhuruumeme,biluju,17.1602,69.1584,68,71AB+91,8350 Lydia Valley Suite 641,Sector 5,000004,KM,CRAFT,,UNEMPLOYED,0,NONE,,,,,,,,,[],[],"[{""shock_type"": ""ILLNESS"", ""shock_date"": ""2025-03-12"", ""shock_period"": ""2025-Q1"", ""coping_strategy"": ""CS_BORROW""}]",[],[]
i0005,IND-0005,h002,Daniel,Nancy,Martin,Daniel Nancy Martin,Daniel Nancy Martin,MALE,1987-02-21,39,MARRIED,"[{""type"": ""mobile"", ""number"": ""+10000000005"", ""is_primary"": true}]",jason76@example.net,1240251661,XXXXXX1661,CAN_READ_AND_WRITE,en,images/IND-0005.jpg,kamuntu,chakula,rafiki,uhuruumeme,biluju,17.1722,69.1705,152,71AB+91,42388 Burgess Meadow Suite 532,Sector 6,000005,KM,SERVICES,,RETIRED,2,SMARTPHONE,,,,,,,,,[],"[{""land_access"": ""FALSE"", ""land_size"": null, ""productive_assets"": null}, {""land_access"": ""TRUE"", ""land_size"": 7.2, ""productive_assets"": ""[\""TRACTOR\""]""}, {""land_access"": ""TRUE"", ""land_size"": 7.78, ""productive_assets"": ""[\""OTHER\""]""}]",[],[],[]
i0006,IND-0006,h002,Katrina,Brandon,Martin,Katrina Brandon Martin,Katrina Brandon Martin,FEMALE,1981-08-26,44,DIVORCED,"[{""type"": ""mobile"", ""number"": ""+10000000006"", ""is_primary"": true}]",hernandezernest@example.net,2970753705,XXXXXX3705,HIGHER_EDUCATION,en,images/IND-0006.jpg,kamuntu,chakula,rafiki,uhuruumeme,biluju,17.1165,69.1147,193,71AB+91,166 Rice Plaza Apt. 184,Sector 7,000006,KM,SERVICES,,RETIRED,4,NONE,,,,,,,,,[],"[{""land_access"": ""TRUE"", ""land_size"": 1.43, ""productive_assets"": null}]","[{""shock_type"": ""DROUGHT"", ""shock_date"": ""2025-09-02"", ""shock_period"": ""2025-Q3"", ""coping_strategy"": ""CS_SELL_ASSETS""}]",[],[]
i0007,IND-0007,h002,Patricia,,Martin,Patricia Martin,Patricia Martin,FEMALE,1996-07-29,29,DIVORCED,"[{""type"": ""mobile"", ""number"": ""+10000000007"", ""is_primary"": true}]",,3119634399,XXXXXX4399,INTERMEDIARY,en,images/IND-0007.jpg,kamuntu,chakula,rafiki,uhuruumeme,biluju,17.1656,69.1761,89,71AB+91,2704 William Coves Suite 893,Sector 8,000007,KM,BUSINESS_TRADE,,EMPLOYED,6,SMARTPHONE,,,,,,,,,[],[],"[{""shock_type"": ""ILLNESS"", ""shock_date"": ""2025-10-25"", ""shock_period"": ""2025-Q4"", ""coping_strategy"": ""CS_REDUCE_MEALS""}, {""shock_type"": ""DROUGHT"", ""shock_date"": ""2025-02-14"", ""shock_period"": ""2025-Q1"", ""coping_strategy"": ""CS_BORROW""}]",[],[]
i0008,IND-0008,h002,Christian,,Martin,Christian Martin,Christian Martin,MALE,1990-12-30,35,MARRIED,"[{""type"": ""mobile"", ""number"": ""+10000000008"", ""is_primary"": true}]",,9639245200,XXXXXX5200,BASIC,en,images/IND-0008.jpg,kamuntu,chakula,rafiki,uhuruumeme,biluju,17.1621,69.1582,187,71AB+91,570 Sarah Wells,Sector 9,000008,KM,AGRICULTURE,,SELF_EMPLOYED,1,SMARTPHONE,,,,,,,,,"[{""livestock_species"": ""CATTLE"", ""livestock_counts"": ""BAND_1_5""}]",[],[],[],[]
i0009,IND-0009,h003,Pamela,,Anderson,Pamela Anderson,Pamela Anderson,FEMALE,1997-01-12,29,MARRIED,"[{""type"": ""mobile"", ""number"": ""+10000000009"", ""is_primary"": true}]",,4274958945,XXXXXX8945,HIGHER_EDUCATION,en,images/IND-0009.jpg,kamuntu,kilima,pembe,upande,bigeu,14.0239,66.0479,185,40AB+60,248 Brandt Plains Apt. 465,Sector 1,000009,KM,GOVT_EMPLOYMENT,SERVICES,EMPLOYED,5,NONE,,,,,,,,,[],[],"[{""shock_type"": ""ILLNESS"", ""shock_date"": ""2025-10-09"", ""shock_period"": ""2025-Q4"", ""coping_strategy"": ""CS_REDUCE_MEALS""}]","[{""disability_domain"": ""MOBILITY"", ""disability_severity"": ""CANNOT_DO_AT_ALL""}]",[]
i0010,IND-0010,h003,Jessica,,Anderson,Jessica Anderson,Jessica Anderson,MALE,2013-05-04,13,MARRIED,"[{""type"": ""mobile"", ""number"": ""+10000000010"", ""is_primary"": true}]",,2320763135,XXXXXX3135,ILLITERATE,en,images/IND-0010.jpg,kamuntu,kilima,pembe,upande,bigeu,13.9758,66.0578,292,39AB+60,31509 Brianna Avenue,Sector 2,000010,KM,,,,,,NO,FALSE,FALSE,HOST_COMMUNITY,PASTORALIST,TRUE,NO,,[],[],[],[],[]
