username,email,first_name,last_name,individual_id,foundational_id,roles,dp_roles
dguzman,jennifermiles@example.com,David,Guzman,i0001,4733616459,"[""registry_user"", ""registry_admin""]","[""DP_health"", ""DP_disaster_response""]"
mferguson,mferguson@example.org,Madison,Ferguson,i0004,8173347748,"[""registry_user"", ""registry_admin""]","[""DP_social_protection"", ""DP_food_security"", ""DP_education""]"
vroman,vroman@example.org,Victoria,Roman,i0009,4274958945,"[""registry_user"", ""registry_admin""]","[""DP_education""]"
jmorgan,jamesherrera@example.org,James,Morgan,i0014,3030106617,"[""registry_user"", ""registry_approver""]","[""DP_social_protection"", ""DP_health"", ""DP_food_security""]"
jbrown,yorkcasey@example.org,Joseph,Brown,i0017,7380780055,"[""registry_user"", ""registry_approver""]","[""DP_disaster_response""]"
ttaylor,newtoneric@example.com,Teresa,Taylor,i0020,9760623742,"[""registry_user"", ""registry_approver""]","[""DP_social_protection"", ""DP_health""]"
cestes,carlsonmichael@example.com,Cassandra,Estes,i0024,1041531046,"[""registry_user""]","[""DP_food_security""]"
sramirez,sramirez@example.org,Sara,Ramirez,i0031,4642197907,"[""registry_user""]","[""DP_social_protection"", ""DP_food_security""]"
aday,michellewhite@example.com,Alexander,Day,i0034,2825989011,"[""registry_user""]","[""DP_food_security""]"
mjones,atkinsonlynn@example.org,Matthew,Jones,i0038,1267429212,"[""registry_user""]","[""DP_food_security""]"
blee,newtonstephanie@example.net,Bryan,Lee,i0042,2062073697,"[""registry_user""]","[""DP_disaster_response"", ""DP_social_protection"", ""DP_food_security""]"
jkim,mnavarro@example.com,Joshua,Kim,i0049,8352307139,"[""registry_user""]","[""DP_food_security""]"
drowe,floresthomas@example.com,David,Rowe,i0056,1348697524,"[""registry_user""]","[""DP_education""]"
sosborne,lozanojulie@example.com,Sean,Osborne,i0063,5243939720,"[""registry_user""]","[""DP_health"", ""DP_social_protection""]"
mpaul,umatthews@example.org,Meagan,Paul,i0069,9301537234,"[""registry_user""]","[""DP_education"", ""DP_health"", ""DP_social_protection""]"
jwilcox,gperry@example.com,Jason,Wilcox,i0076,1678500147,"[""registry_user""]","[""DP_food_security"", ""DP_health"", ""DP_disaster_response""]"
kramos,kramos@example.org,Karla,Ramos,i0081,2595467139,"[""registry_user""]","[""DP_food_security""]"
lwolf,thompsonkendra@example.com,Lance,Wolf,i0086,4735313433,"[""registry_user""]","[""DP_social_protection"", ""DP_food_security"", ""DP_education""]"
mrangel,tammy62@example.net,Mary,Rangel,i0091,4717261214,"[""registry_user""]","[""DP_disaster_response""]"
egarcia,egarcia@example.org,Emma,Garcia,i0098,4793925798,"[""registry_user""]","[""DP_food_security"", ""DP_disaster_response"", ""DP_health""]"
